5			
6			,26
7		,14	,41
8	,58		,11,38
9			
10	,46		
11			
12	,46		
13			
14	,46		
15			
16	,46		
17			,38
18	,26		,7,40
19	,39		,8
20			,8,37
21			
22			
23			
24			
