5    , 
6    ,17
7    ,19
8    ,29
9    ,15
10    ,12
11    ,38
12    , 
13    ,38
14    , 
15    ,13
16    ,48
17    ,36
18    ,54
19    ,38
20    ,48
21    , 
22    , 
23    , 
0    ,
