5, , , , 
6, , ,16 52, 
7, , ,39,18 44
8,24, , ,8 19 51
9,12, , , 
10,2, , , 
11,2, , , 
12,2, , , 
13,2, , , 
14,2, , , 
15,12, , , 
16,2, , , 
17,0 43, , ,17 57
18,7 37, , ,24 49
19,2, , ,22 44
20,6, , ,29 59
21, ,32, , 
22, , , ,2
23, , , , 
0, , , , 
