5    , , , 
6    , , ,58
7    , , , 
8    ,45, , 
9    , , , 
10    , ,26, 
11    , , , 
12    , ,26, 
13    , , , 
14    , ,26, 
15    , , , 
16    , ,26, 
17    , ,56, 
18    , , , 
19    , ,15, 
20    , , , 
21    , , , 
22    , , , 
23    , , , 
0    , , , 
