5				
6				,38
7	,2  ,22 ,29 ,37 ,45 ,54			
8	,0  ,5  ,10 ,29 ,38 ,53    
9	,1	            ,48		
10		            ,48		
11		            ,48		
12		            ,48		
13		            ,48		
14		            ,48		
15		            ,48		
16		            ,48		
17		,18		,39
18  ,1  ,16         ,42		
19	,1	            ,42		
20		,13         ,40
21				
22				
23				
24				
