5	
6	    ,16         ,40
7	        ,28         ,58
8	        ,24     ,49
9	    ,12
10	
11	,7
12	
13	,7
14	
15	,7
16	
17	,3      ,25         ,56
18	        ,23 ,31     ,57
19	        ,27         ,56
20	        ,27         ,52
21	        ,27
22	
23	
24	
